
17:39:32	1
17:41:16	2
17:43:23	3
17:45:33	2
17:47:53	3
17:48:58	3
17:51:18	4
17:52:24	4
17:54:35	3
17:56:45	2
17:57:51	2
18:00:11	3
18:02:22	2
18:03:28	2
08:25:28	3
08:27:46	2
08:27:45	1
08:28:51	1
08:29:57	1
08:31:02	1
08:32:08	1
08:33:14	1
08:34:20	1
08:35:25	1
08:36:31	1
08:37:37	1
08:38:43	1
08:39:48	1
08:40:54	1
08:42:00	1
08:43:05	1
08:44:11	1
08:45:17	1
08:46:23	1
08:47:28	1
08:48:34	1
08:49:40	1
08:50:45	1
08:51:51	1
08:52:57	1
08:54:03	1
08:55:08	1
08:56:14	1
08:57:20	1
08:58:26	1
08:59:31	1
09:00:37	1
09:01:43	1
09:02:48	1
09:03:54	1
